Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Chicken Tenders and Fries,950,35,10,85,2,1800,100,7
BYO Burger Meal (baseline*),900,35,15,80,9,1600,95,6
Chicken & Cheese Quesadilla,700,40,18,55,4,1400,115,3
Chicken Katsu Bowl,850,35,9,110,18,1900,110,5
Crispy Chicken Sandwich,650,28,8,60,8,1400,75,3
Chef Salad,400,30,8,15,6,1200,240,5
Chicken Caesar Salad,520,35,9,22,4,1200,135,4
Garden Vegetable Salad,200,6,2,24,8,300,0,6
French Fries (side),365,4,3,48,1,290,0,4
House‑made Chips (side),220,3,3,23,1,230,0,2
Garden Side Salad,90,3,1,12,5,90,0,3
Fresh Fruit Cup,80,1,0,21,17,5,0,3
