Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Egg on English Muffin w/ Meat,420,23,7,34,3,870,225,2
Egg on Bagel w/ Meat,500,25,9,52,6,980,235,3
Egg on Croissant w/ Meat,560,24,12,46,7,920,240,2
Double Egg on Toast (no meat),350,20,5,30,3,500,370,3
Three Pancakes w/ Meat,610,20,8,85,15,1040,180,3
Turkey Sandwich (BYO),520,32,6,48,5,1180,65,4
Ham Sandwich (BYO),540,30,7,49,6,1320,70,4
Roast Beef Sandwich (BYO),560,36,8,47,4,1240,80,4
Chicken Salad Sandwich (BYO),580,28,10,50,5,1260,90,4
Tuna Salad Sandwich (BYO),570,29,9,49,4,1280,85,4
Egg Salad Sandwich (BYO),540,23,8,48,5,1220,300,3
Bacon Lettuce Tomato (BLT),500,22,6,47,5,1210,55,3
Chef Salad,420,32,9,16,7,1220,230,5
Chicken Caesar Salad,530,36,10,20,4,1180,140,4
Garden Vegetable Salad,210,7,2,27,10,340,0,7
The Leonardo (Specialty),640,36,11,45,5,1480,95,3
Classic Italian (Specialty),670,34,12,47,6,1560,85,4
Cheezy Beef Melt (Specialty),710,42,15,46,6,1620,110,3
Famous Tuna Melt (Specialty),650,33,13,44,5,1520,95,3
