Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Braised Tofu in Brown Sauce,360,18,4,28,9,1100,0,4
Eggplant with Garlic Sauce,420,8,6,38,15,1200,0,7
Stir-Fried Veggies,250,7,3,32,8,850,0,6
General Tso's Chicken,880,42,9,82,36,1380,120,4
Chicken Teriyaki,550,44,5,46,26,1290,95,3
Stir-Fried Spicy Chicken,640,45,7,38,12,1350,105,3
Braised Fish & Mapo Tofu,620,50,6,24,8,1400,80,3
Pork Ribs with Black Bean Sauce,770,48,12,30,10,1500,140,2
White Rice (1 cup),200,4,0,45,0,0,0,1
Spring Roll,150,3,2,20,2,270,0,2
Pork Dumpling (4 pc),170,8,2,22,2,320,25,1
Red Bean Rice Cake,210,5,1,44,12,90,0,2
Green Salad,90,3,1,12,4,90,0,3
Noodles (1 cup),220,7,2,42,1,210,25,2
Fried Rice (1 cup),330,7,3,55,2,530,45,2
"Dessert (assorted, avg)",280,4,6,48,28,200,40,2
Milk Tea (16 oz),250,4,3,46,36,100,15,0
Fruit Tea (16 oz),160,0,0,40,34,15,0,0
Smoothie (16 oz),230,2,2,52,45,50,5,1
Add Boba/Jelly (2 oz),100,0,0,25,18,10,0,0
Specialty Bottled Drink,120,0,0,30,28,30,0,0
Bottled Water,0,0,0,0,0,0,0,0
