Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Shawarma Grain Bowl,720,38,8,68,9,1240,95,9
Falafel Grain Bowl,670,22,6,74,10,1160,0,11
Spicy Beef Hummus Bowl,640,34,9,42,6,1100,80,7
Sabich Fried Eggplant Hummus Bowl,580,16,7,54,11,980,0,10
Israeli Chopped Salad Hummus Bowl,520,14,6,48,10,940,0,9
Lamb & Turkey Shawarma Pita,610,34,8,50,7,1180,85,6
Sabich Fried Eggplant Pita,560,15,7,54,9,1040,0,7
Falafel Pita,580,19,6,56,9,1080,0,8
Kosher Hotdog in Bun,500,20,9,42,6,1240,70,2
Shawarma Platter (base),720,38,9,46,7,1240,95,7
Falafel Platter (base),680,22,6,52,8,1100,0,9
Israeli Chopped Salad (side),150,3,2,16,6,180,0,4
Zahtar Pita Fries,420,8,6,60,3,580,0,5
French Fries,370,5,3,56,0,420,0,5
Grape Leaves (3 pc),140,3,1,20,2,350,0,3
Pita Bread,170,6,1,35,1,320,0,2
Seasonal Fruit,90,1,0,23,18,10,0,3
Baklava,290,5,6,38,20,180,15,2
Chips,150,2,1,15,0,180,0,1
Fruit Nectar,140,0,0,36,32,15,0,0
Fountain Drink (12 oz),150,0,0,39,39,30,0,0
Water,0,0,0,0,0,0,0,0
