Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Classic Spam Musubi (2 pc),390,12,5,46,2,920,40,1
Teriyaki Tofu Musubi (2 pc),350,14,2,50,6,720,0,2
Loco Moco Bowl - Beef Burger Patty,820,38,14,74,6,1380,250,3
Loco Moco Bowl - Huli-Huli Chicken Thigh,760,44,8,72,10,1340,245,3
Loco Moco Bowl - Teriyaki Beyond Burger,740,31,9,76,9,1320,0,6
Loco Moco Bowl - Marinated Tofu Steak,700,28,5,78,7,1260,0,5
Loco Moco Bowl - Garlic Shrimp,780,40,7,75,7,1420,260,3
Loco Moco Bowl - Ginger Salmon,810,42,7,76,8,1440,240,3
Garlic Noodles,430,12,6,72,4,720,35,3
Sweet Potato,120,2,0,28,8,40,0,4
Bok Choy & Cabbage Stir-Fry,90,3,0,15,6,260,0,4
Sesame Green Beans,100,3,1,10,4,160,0,3
Furikake Fries with Chili Aioli,480,6,6,58,2,740,25,5
Masaladas (Hawaiian fried dough),350,6,5,52,20,250,35,2
Haupia Parfait,300,4,6,48,30,120,15,2
Pineapple Passionfruit Drink,140,0,0,36,32,15,0,0
Hibiscus Drink,90,0,0,24,22,10,0,0
Seasonal Flavor Drink,120,0,0,30,28,10,0,0
Fountain Drink (avg 12 oz),150,0,0,39,39,30,0,0
