Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Pork Bao Bun – Steamed (1),230,8,3,34,5,520,25,1
Pork Bao Bun – Fried (1),300,8,4,35,5,540,25,1
Red Bean Bao Bun – Steamed (1),210,6,2,38,10,260,0,2
Red Bean Bao Bun – Fried (1),280,6,3,39,10,280,0,2
Bao Combo – 3 Steamed Pork Buns + Water,690,24,9,102,15,1560,75,3
Bao Combo – 3 Fried Pork Buns + Water,900,24,12,105,15,1620,75,3
Bao Combo – 3 Steamed Red Bean Buns + Water,630,18,6,114,30,780,0,6
Bao Combo – 3 Fried Red Bean Buns + Water,840,18,9,117,30,840,0,6
Fruit Tea (no bubbles),170,0,0,42,39,15,0,0
Milk Tea (no bubbles),260,4,3,48,36,110,15,0
Smoothie,260,3,2,58,50,40,5,1
Specialty Bottle,140,0,0,35,32,30,0,0
Water,0,0,0,0,0,0,0,0
Add Bubbles (tapioca/jelly/pearls),90,0,0,22,18,10,0,0
Hot Pot – Veggie (Vermicelli + Vegetable Broth),360,8,1,74,7,1200,0,6
Hot Pot – Chicken (Ramen + Beef Broth),520,28,4,72,7,1750,110,5
Hot Pot – Beef (Ramen + Spicy Beef Broth),590,32,7,70,7,1880,95,5
Hot Pot – Shrimp (Egg Noodle + Vegetable Broth),500,26,3,68,6,1600,210,5
