Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Egg & Cheese Bagel,430,20,8,52,7,680,200,3
"Bacon, Egg & Cheese Bagel",500,25,10,52,7,980,240,3
Egg & Cheese Croissant,420,17,10,34,6,620,190,2
"Beef Sausage, Egg & Cheese Croissant",540,22,12,35,6,980,230,2
Fruit Cup,90,1,0,23,18,10,0,3
Yogurt Parfait,190,8,3,28,18,75,10,2
Lamb Curry,420,32,8,12,3,950,95,3
Chicken Curry,380,34,6,10,3,900,105,2
Chilli Chicken,420,35,7,14,5,1040,110,2
Chicken Tikka Masala,460,37,9,16,6,1060,115,3
Veggie Curry,330,10,5,32,9,780,0,6
Chana Masala,360,14,3,40,7,740,0,9
Spinach & Paneer,400,18,7,26,6,820,45,5
Meat Gyro,600,32,10,50,6,1280,85,3
Chicken Gyro,560,34,8,48,6,1220,90,3
Chicken Burger,520,32,7,42,6,1020,85,3
Cheeseburger,640,34,13,46,7,1180,105,3
Falafel Sandwich,520,18,6,64,7,940,0,9
Fish Sandwich,580,31,8,56,5,1120,75,3
Turkey Sandwich,460,28,6,42,6,960,70,3
Roast Beef Sandwich,490,32,7,44,6,980,80,3
Italian Sandwich,520,30,9,44,6,1040,85,3
Chicken Salad Sandwich,480,27,7,42,6,940,85,3
Tuna Salad Sandwich,470,26,6,42,5,920,80,3
Caprese Sandwich,430,19,6,44,7,760,25,3
House Salad,220,6,3,20,6,260,10,4
Greek Salad,280,9,5,22,6,420,15,5
Falafel Salad,400,14,6,44,6,680,0,8
Gyro Salad,430,22,8,26,5,740,55,4
Chicken Tender Salad,460,28,7,28,5,860,70,3
Veggie Samosa (2 pc),260,6,4,38,3,340,0,4
Chicken Nuggets (6 pc),280,15,4,18,0,560,50,1
Chicken Strips (3 pc),330,26,4,14,0,640,65,1
Chicken Wings (6 pc),480,34,8,6,0,820,135,0
Rotisserie Chicken (quarter),440,38,8,0,0,700,115,0
Cheese Fries,480,12,8,54,2,920,30,4
Loaded Fries,600,18,10,56,2,1080,50,5
Fountain Soda (12 oz),150,0,0,39,39,30,0,0
Drip Coffee (12 oz),5,0,0,0,0,5,0,0
Cold Brew Coffee (12 oz),5,0,0,0,0,5,0,0
