Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
PB Squared (With Agave),340,31,1.2,28,22,200,5,3
PB Squared (Half Agave),300,31,1.2,23,15,190,5,3
PB Squared (No Agave),260,31,1.0,18,10,180,5,2
Vanilla Thrilla (Half Agave),200,27,0.8,25,12,150,5,2
Strawberry Fields (No Agave),150,23,0.5,20,8,130,5,1
Chocolate Frosty (With Agave),261,30,1.5,34,31,170,5,1
Matcha Mentality,230,19,1.0,30,20,160,5,2
Organic Supershake,290,32,1.5,35,25,200,5,3
Banana Split,320,27,1.2,35,24,210,5,3
Grammy’s Goods / Cookies & Cream (avg),320,33,1.3,38,26,210,8,2
Original Acai Bowl,550,20,3.0,70,45,250,5,8
PB&A Bowl,650,25,5.0,75,50,300,10,10
Dragon Bowl,520,18,3.5,65,40,280,5,8
