Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g)
Beef Burger,680,35,12,48,9,1120,105,3
Chicken Burger,590,38,6,46,8,1040,90,3
Turkey Burger,560,37,6,44,8,980,85,3
Veggie Burger,510,22,5,62,8,920,0,7
Chicken Sandwich,560,34,6,46,7,980,85,3
Crispy Chicken Sandwich,640,32,8,58,7,1100,95,3
Grilled Cheese,520,19,10,46,6,880,45,2
Classic Fries,370,5,3,56,0,420,0,5
Sweet Potato Fries,390,4,3,66,13,460,0,6
Onion Rings,410,6,4,56,7,480,0,3
