Item,Calories (kcal),Protein (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Sodium (mg),Cholesterol (mg),Fiber (g),Assumptions
3 PC Tender Meal – Fried (with Fries),1110,48,14.5,108,8,1910,185,6,3 tenders + garlic toast + fries + Tender Sauce
3 PC Tender Meal – Fried (with Coleslaw),890,44,13.5,66,18,1690,185,3,3 tenders + garlic toast + coleslaw + Tender Sauce
3 PC Tender Meal – Grilled (with Fries),960,60,10.0,81,8,1610,230,6,3 tenders + garlic toast + fries + Tender Sauce
3 PC Tender Meal – Grilled (with Coleslaw),740,56,9.0,39,18,1390,230,3,3 tenders + garlic toast + coleslaw + Tender Sauce
5 PC Tender Meal – Fried (with Fries),1410,74,19.5,126,8,2610,295,6,5 tenders + garlic toast + fries + Tender Sauce
5 PC Tender Meal – Fried (with Coleslaw),1190,70,18.5,84,18,2390,295,3,5 tenders + garlic toast + coleslaw + Tender Sauce
5 PC Tender Meal – Grilled (with Fries),1160,94,12.0,81,8,2110,370,6,5 tenders + garlic toast + fries + Tender Sauce
5 PC Tender Meal – Grilled (with Coleslaw),940,90,11.0,39,18,1890,370,3,5 tenders + garlic toast + coleslaw + Tender Sauce
Tender Garden Salad – Grilled,350,32,6.0,16,6,900,120,4,Includes dressing & toppings as listed on menu.
Tender Garden Salad – Fried,470,30,9.0,24,6,960,135,4,Includes dressing & toppings as listed on menu.
Buffalo Chicken Salad – Grilled,420,34,6.0,18,6,1200,120,4,Includes dressing & toppings as listed on menu.
Buffalo Chicken Salad – Fried,520,32,9.0,26,6,1250,135,4,Includes dressing & toppings as listed on menu.
Bottled Water,0,0,0.0,0,0,0,0,0,
Bubly (12 oz),0,0,0.0,0,0,0,0,0,
