Resturaunts,Times,Menu,Calories: Macro Data
The Edge Café & Market,"Friday: 11:00 AM - 2:00 PM
Saturday: CLOSED
Sunday: 4:30 PM - 11:59 PM
Monday: 11:00 AM - 11:59 PM
Tuesday: 11:00 AM - 11:59 PM
Wednesday: 11:00 AM - 11:59 PM
Thursday: 11:00 AM - 11:59 PM",(is this the pizza place? i can't find anything for this),
,,,
Stephanie’s – Market C ,"Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours",(it's like a marketplace so a little goofy to find a menu),
,,,
Au Bon Pain at Skibo Café,"Friday: 7:00 AM - 9:00 PM
Saturday: 7:00 AM - 9:00 PM
Sunday: 7:00 AM - 9:00 PM
Monday: 7:00 AM - 9:00 PM
Tuesday: 7:00 AM - 9:00 PM
Wednesday: 7:00 AM - 9:00 PM
Thursday: 7:00 AM - 9:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/113/abp-menu6.pdf,
,,,
Capital Grains – Rohr Commons,"Friday: CLOSED
Saturday: 11:30 AM - 3:00 PM
Sunday: 11:30 AM - 3:00 PM
Monday: CLOSED
Tuesday: CLOSED
Wednesday: CLOSED
Thursday: CLOSED",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/179/Capital%20Grains%20Menu.pdf,
,,,
Ciao Bella,"Friday: 10:30 AM - 8:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 10:30 AM - 8:00 PM
Tuesday: 10:30 AM - 8:00 PM
Wednesday: 10:30 AM - 8:00 PM
Thursday: 10:30 AM - 8:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/184/Ciao%20Bella%20Static%20(3).pdf,
,,,
Crisp and Crust,"Friday: 10:30 AM - 8:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 10:30 AM - 8:00 PM
Tuesday: 10:30 AM - 8:00 PM
Wednesday: 10:30 AM - 8:00 PM
Thursday: 10:30 AM - 8:00 PM","Signature salads include must-have classics like Caesar Salad topped with grilled chicken, croutons, shaved Asiago, and the Buffalo Chicken Salad with fresh tomatoes, banana peppers, cheddar, pickled red onion, and housemade ranch + buffalo sauce. The colorful Thai Crunch Salad is a textural delight, featuring spinach, kale, teriyaki chicken, red cabbage, mandarin oranges, chow mein noodles, cucumber, scallions, and sesame ginger dressing. The Caprese Burrata Salad combines the show's star, creamy burrata with savory, herbaceous flavor from ingredients like roasted red pepper, shaved parm, and red pesto vinaigrette.

For those who prefer a more hands-on approach, the Build Your Own Salad option allows diners to customize their meal with a choice of one protein, four toppings, one crunch, one extra, and one of the housemade dressings. For just $2 more, you can have your salad served in a freshly baked bread bowl, adding a delicious twist to your meal.

Flatbreads and roll-ups are also available, including the Southwest Chicken Flatbread with Cajun-spiced chicken, ranch, bell pepper, jalapeno, Monterey jack and cheddar blend, crispy tortilla strips, and green onion, and the Philly Cheesesteak Roll-Up with slow-roasted beef, bell peppers, onion, provolone and mozzarella blend, and ranch dipping sauce.",
,,,
De Fer Coffee & Tea at Resnik,"Friday: 7:00 AM - 8:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: CLOSED
Monday: 7:00 AM - 8:00 PM
Tuesday: 7:00 AM - 8:00 PM
Wednesday: 7:00 AM - 8:00 PM
Thursday: 7:00 AM - 8:00 PM",https://www.defer.coffee/cmu?srsltid=AfmBOoqhf1CV7ZjCXFi9w-XAM90Dsp96TwtshUJXE6-1LyeG7URxMHzk,
,,,
E.A.T. (Evenings at Tepper),"Friday: 4:30 PM - 7:30 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 4:30 PM - 7:30 PM
Tuesday: CLOSED
Wednesday: 4:30 PM - 7:30 PM
Thursday: 4:30 PM - 7:30 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/134/Evenings%20at%20Tepper%20Poster-%20%20updated%20Fall%2023%20(4).pdf,
,,,
Entropy+,"Friday: 7:00 AM - 8:00 PM
Saturday: 12:00 PM - 8:00 PM
Sunday: 7:00 AM - 10:00 PM
Monday: 7:00 AM - 10:00 PM
Tuesday: 7:00 AM - 10:00 PM
Wednesday: 7:00 AM - 10:00 PM
Thursday: 7:00 AM - 10:00 PM",(it's like a marketplace so a little goofy to find a menu),
,,,
The Exchange ,"Friday: 8:00 AM - 6:00 PM
Saturday: 10:00 AM - 2:30 PM
Sunday: CLOSED
Monday: 8:00 AM - 7:00 PM
Tuesday: 8:00 AM - 7:00 PM
Wednesday: 8:00 AM - 7:00 PM
Thursday: 8:00 AM - 7:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/92/menu-exchange-2024-25-v2.pdf,
,,,
Fire and Stone ,"Friday: CLOSED
Saturday: CLOSED
Sunday: 4:30 PM - 9:00 PM
Monday: 4:30 PM - 9:00 PM
Tuesday: 4:30 PM - 9:00 PM
Wednesday: 4:30 PM - 9:00 PM
Thursday: 4:30 PM - 9:00 PM",(can't find),
,,,
Forbes Avenue Subs – Rohr Commons ,"Friday: 11:00 AM - 8:00 PM
Saturday: CLOSED
Sunday: CLOSED
Monday: 11:00 AM - 8:00 PM
Tuesday: 11:00 AM - 4:00 PM
Wednesday: 11:00 AM - 8:00 PM
Thursday: 11:00 AM - 8:00 PM",(can't find),
,,,
El Gallo de Oro ,"Friday: 10:30 AM - 4:30 PM
Saturday: 12:00 PM - 8:00 PM
Sunday: 12:00 PM - 8:00 PM
Monday: 10:30 AM - 9:00 PM
Tuesday: 10:30 AM - 9:00 PM
Wednesday: 10:30 AM - 9:00 PM
Thursday: 10:30 AM - 9:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/91/el-gallo-menu-23-24_v1-min.pdf,
,,,
Hunan Express ,"Friday: 10:30 AM - 4:00 PM
Saturday: CLOSED
Sunday: 12:00 PM - 8:00 PM
Monday: 10:30 AM - 8:00 PM
Tuesday: 10:30 AM - 8:00 PM
Wednesday: 10:30 AM - 8:00 PM
Thursday: 10:30 AM - 8:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/110/Hunan%20Visix%20(7).pdf,
,,,
Rohr Café – La Prima ,"Friday: 7:30 AM - 6:00 PM
Saturday: 9:00 AM - 4:00 PM
Sunday: 9:00 AM - 4:00 PM
Monday: 7:30 AM - 6:00 PM
Tuesday: 7:30 AM - 6:00 PM
Wednesday: 7:30 AM - 6:00 PM
Thursday: 7:30 AM - 6:00 PM",https://apps.studentaffairs.cmu.edu/dining/dashboard_images/Production/menus/94/la-prima-wean_fallmenu1.pdf,
,,,
